,prog,ml,ir,stat,db,gender,choco
155,1.0,1,1,1,1,0,-1.0
156,6.0,1,0,1,1,0,0.0
157,7.0,-1,0,1,0,0,2.0
158,0.0,0,0,1,1,1,-1.0
159,1.0,1,1,1,1,0,0.0
160,7.0,0,0,1,0,0,-1.0
161,2.0,1,0,1,0,0,-1.0
162,2.0,1,0,0,0,0,2.0
163,6.0,0,0,1,0,0,0.0
164,4.0,1,1,1,1,0,0.0
165,-1.0,1,0,-1,1,1,2.0
166,6.0,1,0,1,0,0,2.0
167,5.0,0,0,1,0,0,2.0
168,-1.0,0,0,1,0,0,0.0
169,2.0,1,0,1,0,1,2.0
170,-1.0,0,0,-1,1,0,2.0
171,-1.0,0,0,1,0,1,2.0
172,3.0,0,0,1,0,0,2.0
173,7.0,0,0,1,0,0,2.0
174,1.0,1,0,1,1,0,2.0
175,4.0,1,1,1,1,-1,-1.0
176,3.0,1,1,1,1,0,2.0
177,1.0,1,1,1,1,0,2.0
178,6.0,0,0,1,0,0,-1.0
179,7.0,0,0,1,0,0,2.0
180,0.0,0,1,1,0,0,0.0
181,4.0,0,0,1,-1,1,0.0
182,2.0,1,0,1,0,1,-1.0
183,3.0,1,0,1,1,0,2.0
184,1.0,0,0,1,0,0,2.0
185,3.0,0,1,1,0,0,2.0
186,5.0,0,0,1,0,0,2.0
187,1.0,0,-1,1,-1,1,2.0
188,6.0,1,0,1,0,0,0.0
189,0.0,0,1,1,1,0,-1.0
190,3.0,1,0,1,0,0,2.0
191,6.0,1,0,1,0,0,0.0
192,6.0,1,1,1,1,1,0.0
193,4.0,0,0,1,-1,0,0.0
194,3.0,1,0,1,0,0,-1.0
195,0.0,1,1,1,1,0,0.0
196,6.0,1,0,1,1,1,2.0
197,2.0,1,0,0,0,1,2.0
198,-1.0,0,0,1,0,1,-1.0
199,2.0,0,0,1,1,0,-1.0
200,6.0,0,0,1,0,0,2.0
201,3.0,1,-1,1,1,0,2.0
202,2.0,0,0,1,0,0,0.0
203,1.0,1,0,1,1,0,0.0
204,-1.0,0,0,1,0,0,0.0
205,3.0,1,0,0,0,0,2.0
206,6.0,1,1,0,1,0,-1.0
207,3.0,0,0,0,0,0,1.0
208,7.0,0,0,1,1,0,-1.0
209,2.0,1,0,1,0,1,2.0
210,1.0,1,1,1,1,0,-1.0
211,1.0,0,0,1,0,0,1.0
212,4.0,0,0,1,0,0,0.0
213,1.0,0,0,-1,-1,1,2.0
214,1.0,1,1,1,0,0,0.0
215,-1.0,0,1,1,0,0,2.0
216,6.0,1,1,1,1,0,0.0
